order_id,order_date,channel,region,sku,product_name,category,qty,unit_price,discount_amount,revenue,cost,status
ORD-000001,2026-04-01,TikTok,Jawa Tengah,SER,Brightening Serum,Serum,2,210000,21000,399000,210000,completed
ORD-000002,2026-04-01,TikTok,Kalimantan,TON,Hydrating Toner,Toner,2,115000,23000,207000,104000,completed
ORD-000003,2026-04-01,TikTok,Jawa Timur,ADC,Acne Defense Cream,Treatment,2,145000,43500,246500,128000,completed
ORD-000004,2026-04-01,TikTok,Jabodetabek,ADC,Acne Defense Cream,Treatment,1,145000,14500,130500,64000,completed
ORD-000005,2026-04-01,TikTok,Jawa Timur,FCW,Facial Cleanser Wash,Cleanser,1,99000,5000,94000,41000,completed
ORD-000006,2026-04-01,TikTok,Jawa Timur,SER,Brightening Serum,Serum,1,210000,0,210000,105000,completed
ORD-000007,2026-04-01,TikTok,Sumatera,ECG,Eye Care Gel,Treatment,3,175000,26200,498800,276000,completed
ORD-000008,2026-04-01,TikTok,Jawa Barat,ECG,Eye Care Gel,Treatment,1,175000,26200,148800,92000,completed
ORD-000009,2026-04-01,TikTok,Jawa Timur,FCW,Facial Cleanser Wash,Cleanser,1,99000,0,99000,41000,completed
ORD-000010,2026-04-01,TikTok,Jabodetabek,SER,Brightening Serum,Serum,1,210000,31500,178500,105000,completed
ORD-000011,2026-04-01,TikTok,Jawa Barat,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000012,2026-04-01,TikTok,Jawa Barat,SSUP,Sunscreen SPF 50,Suncare,1,168000,33600,134400,82000,completed
ORD-000013,2026-04-01,TikTok,Kalimantan,TON,Hydrating Toner,Toner,2,115000,11500,218500,104000,completed
ORD-000014,2026-04-01,TikTok,Sumatera,SER,Brightening Serum,Serum,1,210000,42000,168000,105000,completed
ORD-000015,2026-04-01,TikTok,Jawa Timur,SER,Brightening Serum,Serum,1,210000,10500,199500,105000,completed
ORD-000016,2026-04-01,TikTok,Jabodetabek,FCW,Facial Cleanser Wash,Cleanser,1,99000,0,99000,41000,completed
ORD-000017,2026-04-01,TikTok,Jawa Tengah,SSUP,Sunscreen SPF 50,Suncare,1,168000,8400,159600,82000,completed
ORD-000018,2026-04-01,TikTok,Sumatera,SSUP,Sunscreen SPF 50,Suncare,1,168000,16800,151200,82000,completed
ORD-000019,2026-04-01,TikTok,Jawa Timur,SER,Brightening Serum,Serum,1,210000,0,210000,105000,completed
ORD-000020,2026-04-01,TikTok,Sumatera,SSUP,Sunscreen SPF 50,Suncare,1,168000,8400,159600,82000,completed
ORD-000021,2026-04-01,TikTok,Jawa Tengah,FCW,Facial Cleanser Wash,Cleanser,1,99000,0,99000,41000,completed
ORD-000022,2026-04-01,TikTok,Kalimantan,ECG,Eye Care Gel,Treatment,3,175000,78800,446200,276000,completed
ORD-000023,2026-04-01,TikTok,Jawa Timur,SER,Brightening Serum,Serum,1,210000,21000,189000,105000,completed
ORD-000024,2026-04-01,TikTok,Sumatera,FCW,Facial Cleanser Wash,Cleanser,1,99000,14800,84200,41000,completed
ORD-000025,2026-04-01,TikTok,Jawa Tengah,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000026,2026-04-01,TikTok,Kalimantan,TON,Hydrating Toner,Toner,1,115000,0,115000,52000,completed
ORD-000027,2026-04-01,Shopee,Jawa Timur,FCW,Facial Cleanser Wash,Cleanser,1,99000,14800,84200,41000,completed
ORD-000028,2026-04-01,Shopee,Jawa Timur,TON,Hydrating Toner,Toner,2,115000,11500,218500,104000,completed
ORD-000029,2026-04-01,Shopee,Kalimantan,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000030,2026-04-01,Shopee,Jawa Tengah,TON,Hydrating Toner,Toner,2,115000,34500,195500,104000,completed
ORD-000031,2026-04-01,Shopee,Jawa Tengah,SSUP,Sunscreen SPF 50,Suncare,1,168000,16800,151200,82000,completed
ORD-000032,2026-04-01,Shopee,Kalimantan,SSUP,Sunscreen SPF 50,Suncare,1,168000,8400,159600,82000,completed
ORD-000033,2026-04-01,Shopee,Jawa Tengah,SER,Brightening Serum,Serum,1,210000,0,210000,105000,completed
ORD-000034,2026-04-01,Shopee,Jawa Barat,SER,Brightening Serum,Serum,1,210000,42000,168000,105000,completed
ORD-000035,2026-04-01,Shopee,Jawa Tengah,SER,Brightening Serum,Serum,1,210000,0,210000,105000,completed
ORD-000036,2026-04-01,Shopee,Jawa Timur,TON,Hydrating Toner,Toner,1,115000,5800,-98280,0,returned
ORD-000037,2026-04-01,Shopee,Sumatera,SSUP,Sunscreen SPF 50,Suncare,2,168000,0,336000,164000,completed
ORD-000038,2026-04-01,Shopee,Jabodetabek,SER,Brightening Serum,Serum,3,210000,31500,598500,315000,completed
ORD-000039,2026-04-01,Shopee,Jawa Timur,ADC,Acne Defense Cream,Treatment,1,145000,0,145000,64000,completed
ORD-000040,2026-04-01,Shopee,Jawa Tengah,SER,Brightening Serum,Serum,1,210000,0,210000,105000,completed
ORD-000041,2026-04-01,Shopee,Jawa Barat,SER,Brightening Serum,Serum,1,210000,0,210000,105000,completed
ORD-000042,2026-04-01,Shopee,Kalimantan,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000043,2026-04-01,Shopee,Jabodetabek,TON,Hydrating Toner,Toner,1,115000,11500,103500,52000,completed
ORD-000044,2026-04-01,Shopee,Jawa Timur,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000045,2026-04-01,Shopee,Jawa Tengah,FCW,Facial Cleanser Wash,Cleanser,2,99000,19800,178200,82000,completed
ORD-000046,2026-04-01,Shopee,Jabodetabek,ADC,Acne Defense Cream,Treatment,1,145000,21800,123200,64000,completed
ORD-000047,2026-04-01,Shopee,Jawa Timur,TON,Hydrating Toner,Toner,2,115000,34500,195500,104000,completed
ORD-000048,2026-04-01,Shopee,Sumatera,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000049,2026-04-01,Shopee,Sumatera,ADC,Acne Defense Cream,Treatment,1,145000,7200,137800,64000,completed
ORD-000050,2026-04-01,Shopee,Jawa Timur,SER,Brightening Serum,Serum,1,210000,0,210000,105000,completed
ORD-000051,2026-04-01,Shopee,Jabodetabek,FCW,Facial Cleanser Wash,Cleanser,1,99000,14800,84200,41000,completed
ORD-000052,2026-04-01,Shopee,Kalimantan,SER,Brightening Serum,Serum,1,210000,10500,199500,105000,completed
ORD-000053,2026-04-01,Shopee,Jawa Tengah,SSUP,Sunscreen SPF 50,Suncare,3,168000,25200,478800,246000,completed
ORD-000054,2026-04-01,Shopee,Jabodetabek,SSUP,Sunscreen SPF 50,Suncare,2,168000,16800,319200,164000,completed
ORD-000055,2026-04-01,Shopee,Jabodetabek,ADC,Acne Defense Cream,Treatment,1,145000,7200,137800,64000,completed
ORD-000056,2026-04-01,Shopee,Sumatera,TON,Hydrating Toner,Toner,1,115000,17200,97800,52000,completed
ORD-000057,2026-04-01,Shopee,Jabodetabek,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000058,2026-04-01,Tokopedia,Jabodetabek,TON,Hydrating Toner,Toner,2,115000,0,230000,104000,completed
ORD-000059,2026-04-01,Tokopedia,Kalimantan,TON,Hydrating Toner,Toner,1,115000,5800,109200,52000,completed
ORD-000060,2026-04-01,Tokopedia,Kalimantan,ECG,Eye Care Gel,Treatment,2,175000,0,350000,184000,completed
ORD-000061,2026-04-01,Tokopedia,Jabodetabek,FCW,Facial Cleanser Wash,Cleanser,1,99000,5000,94000,41000,completed
ORD-000062,2026-04-01,Tokopedia,Sumatera,SER,Brightening Serum,Serum,1,210000,21000,189000,105000,completed
ORD-000063,2026-04-01,Tokopedia,Sumatera,SSUP,Sunscreen SPF 50,Suncare,2,168000,50400,285600,164000,completed
ORD-000064,2026-04-01,Tokopedia,Jabodetabek,FCW,Facial Cleanser Wash,Cleanser,1,99000,5000,94000,41000,completed
ORD-000065,2026-04-01,Tokopedia,Jawa Timur,ADC,Acne Defense Cream,Treatment,1,145000,14500,130500,64000,completed
ORD-000066,2026-04-01,Tokopedia,Jabodetabek,SER,Brightening Serum,Serum,1,210000,10500,199500,105000,completed
ORD-000067,2026-04-01,Tokopedia,Kalimantan,SSUP,Sunscreen SPF 50,Suncare,1,168000,0,168000,82000,completed
ORD-000068,2026-04-01,Tokopedia,Jawa Timur,ECG,Eye Care Gel,Treatment,1,175000,26200,148800,92000,completed
ORD-000069,2026-04-01,Tokopedia,Jawa Timur,FCW,Facial Cleanser Wash,Cleanser,2,99000,0,198000,82000,completed
ORD-000070,2026-04-01,Tokopedia,Jawa Timur,ECG,Eye Care Gel,Treatment,1,175000,8800,166200,92000,completed
ORD-000071,2026-04-01,Tokopedia,Jabodetabek,ADC,Acne Defense Cream,Treatment,3,145000,21800,413200,192000,completed
ORD-000072,2026-04-01,Tokopedia,Sumatera,SER,Brightening Serum,Serum,1,210000,10500,199500,105000,completed
ORD-000073,2026-04-01,Tokopedia,Sumatera,FCW,Facial Cleanser Wash,Cleanser,2,99000,29700,168300,82000,completed
ORD-000074,2026-04-01,Tokopedia,Kalimantan,FCW,Facial Cleanser Wash,Cleanser,1,99000,0,99000,41000,completed
